tanggal,nama.pembeli,nama.barang,kuantum,nominal
2020-01-02,TOKO HERUNIAWATI,BERAS,1000.0,9840000.0
2020-01-02,TOKO HERUNIAWATI,DAGING,120.0,8400000.0
2020-01-02,TOKO APRILIA SUKRISNI,BERAS,6000.0,62910000.0
2020-01-02,TOKO APRILIA SUKRISNI,MIGOR,408.0,4855200.0
2020-01-02,TOKO APRILIA SUKRISNI,TEPUNG,140.0,1162000.0
2020-01-02,TOKO MAJU TERUS,BERAS,820.0,8597700.0
2020-01-02,TOKO MAJU TERUS,BERAS,550.0,5412000.0
2020-01-02,TOKO MAJU TERUS,DAGING,140.0,9800000.0
2020-01-03,KOPERASI BRI MELAWI,BERAS,1180.0,12372300.0
2020-01-03,KOPERASI BRI MELAWI,MIGOR,204.0,2427600.0
2020-01-03,KOPERASI BRI MELAWI,TEPUNG,200.0,1660000.0
2020-01-06,TOKO DEB,BERAS,500.0,4920000.0
2020-01-06,TOKO DEB,DAGING,100.0,7000000.0
2020-01-06,TOKO FATHULLAH ZIKRI,BERAS,500.0,4920000.0
2020-01-06,TOKO FATHULLAH ZIKRI,DAGING,110.0,7700000.0
2020-01-06,TOKO FAHRI,BERAS,200.0,1968000.0
2020-01-06,TOKO FAHRI,DAGING,40.0,2800000.0
2020-01-07,TOKO KEDAI YUDA,BERAS,250.0,2621250.0
2020-01-07,TOKO KEDAI YUDA,BERAS,500.0,4920000.0
2020-01-07,TOKO KEDAI YUDA,DAGING,60.0,4200000.0
2020-01-07,TOKO KOPERASI KONSUMEN SYARIAH BERKAH BERSEMI,BERAS,250.0,2621250.0
2020-01-07,TOKO KOPERASI KONSUMEN SYARIAH BERKAH BERSEMI,BERAS,450.0,4428000.0
2020-01-07,TOKO KOPERASI KONSUMEN SYARIAH BERKAH BERSEMI,DAGING,60.0,4200000.0
2020-01-09,Harya Sari,BERAS,200.0,2097000.0
2020-01-09,Harya Sari,BERAS,600.0,5904000.0
2020-01-09,Harya Sari,DAGING,100.0,7000000.0
2020-01-09,TOKO SUPER STOCK,BERAS,300.0,3145500.0
2020-01-09,TOKO SUPER STOCK,BERAS,700.0,6888000.0
2020-01-09,TOKO SUPER STOCK,DAGING,150.0,10500000.0
2020-01-10,TOKO HARYATI,BERAS,3000.0,31500000.0
2020-01-10,TOKO KARDI,BERAS,1000.0,10500000.0
2020-01-10,TOKO KHET MEN,BERAS,1000.0,10500000.0
2020-01-10,TOKO ENDANG HARTATI,BERAS,500.0,5250000.0
2020-01-10,TOKO DWI SUSILO,BERAS,500.0,5250000.0
2020-01-10,TOKO CAH HERU,BERAS,500.0,5250000.0
2020-01-10,TOKO AANG  DARMAWAN,BERAS,500.0,5250000.0
2020-01-10,TOKO DIDIK PRIOJADMIKO,BERAS,500.0,5250000.0
2020-01-10,TOKO HENI LAY,BERAS,4000.0,42000000.0
2020-01-10,TOKO APRIYANTO,BERAS,3000.0,31500000.0
2020-01-10,Warung Nak Zihan,BERAS,500.0,5242500.0
2020-01-10,Warung Nak Zihan,DAGING,100.0,7000000.0
2020-01-10,Warung Nak Zihan,MIGOR,84.0,999600.0
2020-01-10,Warung Nak Zihan,TEPUNG,60.0,498000.0
2020-01-13,TOKO MUNIR,BERAS,300.0,3145500.0
2020-01-13,TOKO MUNIR,DAGING,120.0,8400000.0
2020-01-13,TOKO KARYA BINJAI,BERAS,200.0,2097000.0
2020-01-13,TOKO KARYA BINJAI,DAGING,80.0,5600000.0
2020-01-13,TOKO KIAN KIONG,BERAS,1000.0,10500000.0
2020-01-13,TOKO ANDREAS INDAH,BERAS,7000.0,73500000.0
2020-01-13,TOKO KHET MEN,BERAS,1000.0,10500000.0
2020-01-13,TOKO NURDIAH,BERAS,2500.0,26250000.0
2020-01-14,KARUNIA,BERAS,500.0,4920000.0
2020-01-14,KARUNIA,DAGING,20.0,1400000.0
